

Zeit,Temp_Soll,Temp_Ist,Power_in_%\r\
528,180,25,0,\r\
578,180,25,0,\r\
629,180,25,0,\r\
680,180,25,0,\r\
731,180,25,0,\r\
782,180,25,0,\r\
833,180,25,0,\r\
884,180,25,0,\r\
934,180,25,0,\r\
986,180,25,0,\r\
1037,180,25,0,\r\
1091,186,25,0,\r\
1145,191,25,0,\r\
1196,191,25,0,\r\
1247,191,25,0,\r\
1301,196,25,0,\r\
1352,196,25,0,\r\
1403,196,25,0,\r\
1455,196,25,0,\r\
1506,196,25,0,\r\
1560,191,25,0,\r\
1614,181,25,0,\r\
1669,161,25,0,\r\
1723,156,25,0,\r\
1774,156,25,0,\r\
1829,161,25,0,\r\
1884,186,25,0,\r\
1938,191,25,0,\r\
1992,196,25,0,\r\
2046,191,25,0,\r\
2101,181,25,0,\r\
2155,166,25,0,\r\
2209,161,25,0,\r\
2260,161,25,0,\r\
2315,186,25,0,\r\
2369,191,25,0,\r\
2423,196,25,0,\r\
2475,196,25,0,\r\
2526,196,25,0,\r\
2577,196,25,0,\r\
2628,196,25,0,\r\
2678,196,25,0,\r\
2729,196,25,0,\r\
2781,196,25,0,\r\
2832,196,25,0,\r\
2883,196,25,0,\r\
2934,196,25,0,\r\
2984,196,25,0,\r\
3052,196,25,0,\r\
3103,196,25,0,\r\
3154,196,25,100,\r\
3206,196,25,100,\r\
3257,196,25,100,\r\
3309,196,25,100,\r\
3360,196,25,100,\r\
3411,196,25,100,\r\
3463,196,25,100,\r\
3514,196,25,100,\r\
3565,196,25,100,\r\
3622,190,25,100,\r\
3680,180,25,100,\r\
3737,175,25,100,\r\
3788,175,25,100,\r\
3840,175,25,100,\r\
3892,175,25,100,\r\
3949,190,25,100,\r\
4006,195,25,100,\r\
4063,200,25,100,\r\
4115,200,25,100,\r\
4166,200,25,100,\r\
4224,185,25,100,\r\
4280,175,25,100,\r\
4337,170,25,100,\r\
4395,180,25,100,\r\
4452,195,25,100,\r\
4509,200,25,100,\r\
4567,195,25,100,\r\
4624,175,25,100,\r\
4681,170,25,100,\r\
4739,180,25,100,\r\
4796,200,25,100,\r\
4847,200,25,100,\r\
4898,200,25,100,\r\
4956,190,25,100,\r\
5013,185,25,100,\r\
5070,180,25,100,\r\
5122,180,25,100,\r\
5173,180,25,100,\r\
5225,180,25,100,\r\
5276,180,25,100,\r\
5327,180,25,100,\r\
5379,180,25,100,\r\
5430,180,25,100,\r\
5481,180,25,100,\r\
5533,180,25,100,\r\
5584,180,25,100,\r\
5636,180,25,100,\r\
5687,180,25,100,\r\
5738,180,25,100,\r\
5790,180,25,100,\r\
5841,180,25,100,\r\
5893,180,25,100,\r\
5944,180,25,100,\r\
6006,180,25,0,\r\
6057,180,25,0,\r\
6109,180,25,0,\r\
6159,180,25,0,\r\
6210,180,25,0,\r\
6261,180,25,0,\r\
6312,180,25,0,\r\
6364,180,25,0,\r\
6418,191,25,0,\r\
6472,196,25,0,\r\
6523,196,25,0,\r\
6574,196,25,0,\r\
6629,181,25,0,\r\
6682,166,25,0,\r\
6737,161,25,0,\r\
6791,166,25,0,\r\
6846,186,25,0,\r\
6900,191,25,0,\r\
6951,191,25,0,\r\
7002,191,25,0,\r\
7053,191,25,0,\r\
7104,191,25,0,\r\
7155,191,25,0,\r\
7206,191,25,0,\r\
7257,191,25,0,\r\
7308,191,25,0,\r\
7359,191,25,0,\r\
